Car.PitchAcc,Car.PitchVel,Car.RollAcc,Car.RollVel,Car.YawAcc,Car.YawVel,Car.ax,Car.ay,Car.az,Car.v,Car.vx,Car.vy,Car.vz,Time
rad/s^2,rad/s,rad/s^2,rad/s,rad/s^2,rad/s,m/s^2,m/s^2,m/s^2,m/s,m/s,m/s,m/s,s
1.36E-06,4.23E-08,-6.22E-08,-2.54E-10,-5.84E-08,-2.97E-10,1.84E-06,-7.50E-09,-4.63E-06,1.32E-07,1.07E-07,-2.18E-10,7.73E-08,0.741
1.20E-06,5.49E-08,-4.52E-08,-1.63E-10,8.62E-08,-2.03E-10,2.08E-06,-1.93E-08,-4.17E-06,1.29E-07,1.25E-07,-1.99E-10,3.36E-08,0.751
1.15E-06,6.64E-08,-4.12E-08,-2.73E-10,8.37E-08,-1.52E-10,1.95E-06,-1.92E-08,-3.89E-06,1.41E-07,1.40E-07,-1.67E-10,-7.38E-09,0.761
1.07E-06,7.73E-08,7.83E-09,-2.81E-10,1.00E-07,-2.03E-10,1.55E-06,1.67E-08,-3.79E-06,1.61E-07,1.55E-07,-1.38E-10,-4.60E-08,0.771
1.17E-06,8.74E-08,4.36E-08,-2.78E-10,2.06E-07,-1.74E-10,3.85E-07,1.96E-08,-3.11E-06,1.88E-07,1.69E-07,-8.38E-11,-8.19E-08,0.781
1.54E-06,1.03E-07,8.75E-08,-3.32E-10,5.17E-07,-1.22E-10,4.11E-07,4.74E-08,-2.55E-06,2.10E-07,1.76E-07,-4.62E-11,-1.14E-07,0.791
1.29E-06,1.18E-07,-2.55E-08,1.23E-10,2.03E-07,6.10E-10,1.08E-06,-2.30E-08,-3.47E-06,2.32E-07,1.83E-07,1.48E-11,-1.42E-07,0.801
1.08E-06,1.33E-07,-2.79E-08,1.64E-11,-9.71E-08,7.34E-11,9.91E-07,-5.03E-08,-2.47E-06,2.53E-07,1.90E-07,3.94E-11,-1.66E-07,0.811
1.86E-06,1.47E-07,2.13E-08,3.04E-10,1.17E-07,2.95E-10,2.65E-08,7.04E-09,-1.06E-06,2.71E-07,1.98E-07,2.98E-11,-1.86E-07,0.821
7.58E-07,1.61E-07,2.12E-08,-2.98E-10,1.24E-07,2.85E-10,1.65E-06,-6.81E-09,-2.59E-06,2.87E-07,2.04E-07,5.49E-11,-2.01E-07,0.831
1.18E-06,1.73E-07,6.00E-09,-6.37E-10,-2.19E-08,-2.72E-10,2.71E-07,1.63E-09,-3.86E-07,3.01E-07,2.11E-07,6.47E-11,-2.14E-07,0.841
1.45E-06,1.84E-07,-3.84E-09,-4.24E-10,5.12E-08,5.86E-10,-8.10E-08,1.21E-09,-5.75E-07,3.11E-07,2.17E-07,1.09E-10,-2.24E-07,0.851
6.76E-07,1.92E-07,1.53E-07,-5.06E-10,3.43E-07,3.48E-10,3.25E-07,2.11E-08,-5.58E-07,3.20E-07,2.21E-07,1.42E-10,-2.32E-07,0.861
3.60E-07,1.99E-07,1.28E-07,-6.52E-10,3.97E-07,6.61E-11,6.66E-07,4.83E-08,-9.87E-07,3.27E-07,2.24E-07,1.76E-10,-2.38E-07,0.871
-1.83E-07,2.04E-07,-1.36E-08,-6.84E-10,-6.36E-08,-1.01E-10,1.27E-06,7.44E-09,-1.81E-06,3.32E-07,2.26E-07,2.13E-10,-2.43E-07,0.881
-6.89E-08,2.07E-07,7.82E-08,-5.57E-10,1.60E-07,1.86E-11,1.81E-07,3.69E-08,-1.02E-07,3.35E-07,2.28E-07,2.41E-10,-2.46E-07,0.891
3.08E-07,2.08E-07,-7.00E-09,-6.22E-10,-4.16E-08,-1.84E-10,-3.13E-07,4.91E-09,1.44E-07,3.37E-07,2.29E-07,2.63E-10,-2.47E-07,0.901
2.02E-08,2.08E-07,-1.89E-08,-4.14E-10,-1.65E-07,4.00E-10,-5.33E-09,-1.62E-08,-2.93E-07,3.36E-07,2.28E-07,2.89E-10,-2.47E-07,0.911
-9.23E-08,2.05E-07,4.07E-08,-4.04E-10,1.14E-07,2.28E-10,-3.98E-07,-8.94E-09,4.26E-07,3.35E-07,2.27E-07,2.89E-10,-2.46E-07,0.921
-1.86E-07,2.01E-07,-2.52E-09,-5.60E-10,-3.81E-08,-2.33E-10,-4.69E-07,2.48E-09,5.08E-07,3.32E-07,2.26E-07,2.89E-10,-2.43E-07,0.931
-5.26E-07,1.97E-07,-4.26E-08,-2.53E-10,-2.96E-08,8.81E-10,-4.12E-07,5.51E-09,7.78E-07,3.26E-07,2.23E-07,3.04E-10,-2.38E-07,0.941
-8.49E-07,1.90E-07,2.33E-10,-5.88E-10,-6.71E-08,-2.41E-10,-3.26E-07,1.29E-09,1.05E-06,3.20E-07,2.20E-07,2.73E-10,-2.33E-07,0.951
-7.79E-07,1.84E-07,9.50E-09,-3.19E-10,-1.15E-07,1.86E-11,-1.46E-07,-2.32E-08,3.79E-07,3.12E-07,2.15E-07,2.67E-10,-2.26E-07,0.961
-9.44E-07,1.76E-07,-6.38E-08,-3.39E-10,-1.21E-07,4.66E-11,-3.19E-07,-3.82E-08,6.24E-07,3.04E-07,2.12E-07,2.61E-10,-2.18E-07,0.971
-1.02E-06,1.68E-07,-6.22E-08,-3.14E-10,-1.24E-07,4.09E-11,-3.48E-07,-3.89E-08,7.19E-07,2.94E-07,2.07E-07,2.55E-10,-2.09E-07,0.981
-1.09E-06,1.58E-07,-6.23E-08,-2.80E-10,-1.25E-07,2.78E-11,-3.64E-07,-3.94E-08,8.11E-07,2.84E-07,2.02E-07,2.45E-10,-1.99E-07,0.991
-1.01E-06,1.49E-07,-9.27E-09,-1.72E-10,-1.61E-07,1.87E-10,-2.58E-07,-2.03E-08,7.08E-07,2.72E-07,1.97E-07,2.37E-10,-1.88E-07,1.001
-1.13E-06,1.38E-07,8.99E-08,-4.23E-10,1.20E-07,-1.10E-09,-4.19E-07,3.73E-08,9.32E-07,2.61E-07,1.92E-07,2.04E-10,-1.77E-07,1.011
-8.88E-07,1.28E-07,1.35E-08,3.91E-11,1.12E-07,3.31E-10,-7.64E-07,-5.60E-09,1.35E-06,2.48E-07,1.86E-07,2.28E-10,-1.64E-07,1.021
-1.06E-06,1.17E-07,2.60E-08,-3.87E-10,1.51E-07,-1.02E-09,-2.97E-07,1.87E-08,8.71E-07,2.36E-07,1.81E-07,2.02E-10,-1.52E-07,1.031
-9.48E-07,1.07E-07,2.17E-08,1.08E-10,1.34E-07,4.59E-10,-7.55E-07,-8.74E-09,1.48E-06,2.23E-07,1.75E-07,2.20E-10,-1.39E-07,1.041
-1.18E-06,9.52E-08,-2.33E-09,-1.46E-10,-1.95E-08,-5.13E-11,-5.59E-07,-7.32E-10,1.71E-06,2.11E-07,1.70E-07,1.99E-10,-1.25E-07,1.051
-1.30E-06,8.48E-08,3.66E-09,-1.18E-10,-1.31E-09,-1.22E-10,-5.36E-07,-2.47E-09,1.82E-06,1.98E-07,1.64E-07,1.74E-10,-1.11E-07,1.061
-1.13E-06,7.39E-08,2.69E-09,-8.75E-11,2.13E-09,-1.12E-10,-5.87E-07,-2.27E-09,1.73E-06,1.87E-07,1.59E-07,1.51E-10,-9.74E-08,1.071
-1.10E-06,6.36E-08,2.41E-09,-6.26E-11,2.54E-09,-8.73E-11,-6.02E-07,-2.00E-09,1.72E-06,1.75E-07,1.54E-07,1.30E-10,-8.35E-08,1.081
-9.18E-07,5.33E-08,-7.48E-09,-2.91E-11,-1.64E-08,1.85E-11,-6.74E-07,1.34E-10,1.60E-06,1.64E-07,1.48E-07,1.12E-10,-6.98E-08,1.091
-7.76E-07,4.35E-08,3.00E-09,-2.31E-11,-1.95E-09,-4.68E-11,-7.46E-07,-1.79E-09,1.50E-06,1.54E-07,1.43E-07,9.15E-11,-5.61E-08,1.101
